StockCode,total_price
DOT,206248.77
22423,174484.74
23843,168469.6
85123A,104518.8
47566,99504.33
85099B,94340.05
23166,81700.92
M,78110.27
POST,78101.88
23084,66964.99
22086,64952.29
84879,59094.93
79321,54117.76
22502,51426.62
22197,51354.02
23298,43182.83
22386,42436.24
23203,42067.78
21137,40652.13
23284,38166.64
22720,38158.39
22960,37128.88
20725,36042.01
82484,36030.22
22178,33187.97
22114,33002.59
22910,32873.34
22112,32866.18
85099F,32570.47
22469,32107.8
23245,31177.95
21931,30770.12
22727,30701.12
23199,30475.65
22470,30139.41
22355,29277.95
22699,29095.27
23355,28842.55
22411,28634.95
22457,28147.96
85099C,28092.2
20685,28082.54
23201,27890.17
22726,27196.53
21175,27074.07
84347,26463.83
21915,26331.58
22666,26240.6
84946,25889.63
22629,25740.47
22961,25660.98
48138,25609.6
21181,25290.58
23173,24918.93
21621,24542.83
22111,24509.84
22722,24483.66
22326,24438.62
48187,24292.84
22138,24239.72
21731,23932.98
48185,23888.81
23344,23815.75
23243,23514.17
22189,23463.47
21733,23228.74
21929,23181.14
82482,23113.26
20713,23030.96
21623,23010.09
22139,22912.81
22697,22826.3
22090,22790.96
85066,22708.95
22383,22542.44
20727,22421.21
15056N,22176.49
84029E,22144.98
48194,22138.57
20712,22092.42
23202,21852.81
20724,21776.79
20728,21750.63
22630,21635.14
21523,21601.69
23209,21450.17
21843,21365.25
21212,21259.1
21928,21154.55
21166,20957.64
23206,20911.98
22659,20818.7
22728,20702.15
71477,20658.56
21479,20594.45
84997D,19736.5
82494L,19640.79
22501,19322.16
22328,19130.37
22467,18890.47
22969,18788.55
15036,18569.84
82486,18467.22
20914,18390.2
20726,18323.38
22382,18092.36
21108,18069.28
22835,18055.11
22693,17927.45
22865,17910.03
21485,17708.53
22698,17551.76
22384,17435.19
22077,17205.37
22385,17081.86
21754,17049.92
82583,17047.06
23240,17037.52
22492,16937.82
20719,16759.75
22624,16528.31
22993,16507.23
84978,16477.53
84078A,16363.3
23301,16357.05
21232,16263.8
84029G,16164.04
84997B,16045.97
85152,15983.33
23313,15833.31
15056BL,15828.84
22379,15636.99
82483,15240.07
22084,15122.97
22900,14975.93
84997C,14501.18
22752,14453.47
22866,14410.62
22847,14389.34
48184,14324.0
23200,14197.28
22507,14193.35
22083,14159.54
22625,14141.7
22867,14078.69
21930,14031.16
23343,13978.95
22622,13931.31
84077,13841.85
20971,13838.1
22941,13812.92
AMAZONFEE,13761.09
22171,13746.11
23077,13720.77
22551,13615.31
21524,13612.41
23356,13494.97
23207,13360.2
22558,13346.04
22554,13344.77
23108,13303.02
23328,13284.49
22776,13088.73
82600,12835.28
22113,12805.33
22499,12792.25
22427,12671.06
20750,12642.93
20749,12614.17
21755,12572.71
22607,12571.37
20723,12552.4
21790,12515.96
22188,12487.17
22568,12440.14
22424,12383.83
22149,12373.88
23174,12350.73
21977,12245.02
48188,12114.97
47590B,12071.92
22273,12016.34
22191,11971.15
22158,11944.88
21430,11928.45
22087,11893.23
22193,11882.57
23300,11815.69
21936,11671.09
23581,11613.03
22692,11555.56
21217,11532.39
22730,11479.65
21481,11466.37
22356,11420.29
21216,11407.56
22041,11354.56
21340,11338.27
21080,11319.36
47566B,11290.12
22605,11276.21
22570,11227.47
23170,11117.05
22413,11104.79
22662,11090.58
B,11062.06
20711,11014.62
85014B,10981.95
22988,10938.31
85048,10910.61
71459,10858.89
22617,10745.05
22846,10676.62
22734,10621.6
21791,10535.65
21891,10526.0
84755,10518.25
47590A,10502.65
23208,10498.01
22992,10379.84
22169,10354.26
21914,10343.56
84947,10297.27
23582,10233.45
22970,10224.75
22569,10133.33
21218,10116.49
22556,10070.11
22633,10057.32
22621,10056.95
23171,10051.99
48173C,10025.11
20679,10021.42
23076,9965.76
22791,9963.88
22690,9959.6
84997A,9933.88
22619,9921.29
22654,9898.95
22555,9863.28
22766,9843.59
21314,9811.58
22838,9765.11
22561,9749.82
21559,9748.13
22844,9686.82
22144,9681.18
22560,9602.32
23175,9600.15
22978,9568.73
22456,9554.47
35970,9546.53
22952,9524.72
21174,9413.82
84375,9404.15
85150,9388.53
21155,9301.4
23319,9266.84
22749,9264.91
22966,9212.15
84991,9183.72
23318,9167.39
20972,9159.31
23080,9158.87
48116,9088.63
22729,9080.2
22771,9050.44
22759,9043.94
22989,9012.27
22632,8995.43
23439,8941.61
23322,8925.41
82582,8862.99
21889,8862.29
84945,8754.63
22947,8714.24
23256,8675.37
22147,8626.94
22652,8620.32
23534,8614.85
22795,8578.0
23082,8577.51
23078,8553.34
21035,8549.85
84378,8540.9
21484,8535.52
23493,8509.68
23321,8473.27
23535,8469.99
71053,8441.82
21213,8418.44
21210,8374.19
22768,8268.54
72741,8225.0
22192,8189.29
22725,8168.6
84380,8161.46
22804,8135.4
22655,8125.0
22667,8101.15
22909,8050.53
21121,8033.85
22616,7980.92
22940,7954.0
21770,7938.78
